age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
37,6.0,0,2.0,0,0.07556945544355109,1,0,1.0,20,4,0.03636363636363636,1,0.17545871559633028,2,0.0,0
25,2.0,0,0.0,0,0.04150279862015275,1,0,,23,5,0.08132231404958677,1,0.0,0,,0
31,0.0,1,1.0,0,0.04624099005382478,0,0,1.0,7,7,0.047603305785123964,1,0.17545871559633028,1,1.0,0
38,1.0,1,,0,0.04446920175568113,1,0,1.0,18,11,0.030413223140495868,2,0.0,0,,0
42,1.0,1,2.0,0,0.044683963973637934,0,0,1.0,19,11,0.04495867768595041,3,0.0,0,,0
44,0.0,0,1.0,0,0.04589200144964497,0,0,,12,6,0.03471074380165289,2,0.0,0,,0
44,5.0,1,1.0,0,0.04571750714755507,0,0,1.0,7,7,0.04,2,0.0,0,,0
26,8.0,1,2.0,0,0.051757694527590235,0,0,1.0,30,1,0.05454545454545454,3,0.0,0,,0
41,1.0,1,2.0,0,0.12343458477067422,0,0,1.0,20,11,0.05884297520661157,2,0.0,0,,0
55,2.0,1,0.0,0,0.05288519617186346,1,0,,5,5,0.0803305785123967,1,0.0,0,,0
67,9.0,1,,0,0.05381135823680219,0,0,0.0,17,8,0.03801652892561983,1,0.12155963302752294,2,0.0,0
56,3.0,1,1.0,0,0.05499255043556462,0,1,1.0,30,7,0.047933884297520664,2,0.0,0,,0
53,6.0,1,1.0,0,0.04587857881102267,0,1,1.0,21,8,0.023140495867768594,2,0.0,0,,0
68,9.0,1,1.0,0,0.10069663494449739,0,0,0.0,14,7,0.2952066115702479,2,0.0,0,,1
31,4.0,1,1.0,0,0.0467644729600945,0,0,1.0,27,8,0.025454545454545455,3,0.0,0,,0
59,1.0,1,1.0,0,0.045032952577817746,0,0,1.0,21,11,0.011900826446280991,1,0.0,0,,0
32,1.0,0,2.0,0,0.07850901330183488,1,0,1.0,26,8,0.3153719008264463,6,0.0,0,,1
49,4.0,1,2.0,0,0.06104616045422209,0,0,1.0,13,8,0.11570247933884298,3,0.0,0,,1
42,6.0,1,1.0,0,0.06877760030066711,1,0,,14,5,0.048264462809917356,1,0.0,0,,0
78,9.0,1,0.0,0,0.047542986000187915,0,0,0.0,22,10,0.03074380165289256,1,0.0,0,,1
32,2.0,1,1.0,0,0.07250909383766661,1,0,1.0,14,11,0.04231404958677686,1,0.0,0,,1
33,1.0,1,1.0,0,0.0972872847344331,1,0,1.0,6,5,0.2515702479338843,1,0.393348623853211,2,0.0,1
23,0.0,0,2.0,0,0.049341619575576166,1,0,,30,5,0.003966942148760331,18,0.0,0,,0
38,1.0,0,2.0,0,0.20515160870323887,1,0,,17,11,0.2,2,0.11697247706422019,3,0.0,0
36,1.0,0,2.0,0,0.051891920913813235,0,0,1.0,11,8,0.03371900826446281,2,0.0,0,,0
52,2.0,1,1.0,0,0.059462289096790646,1,0,1.0,13,5,0.11933884297520661,1,0.0,0,,0
32,4.0,1,2.0,0,0.04978456665011208,1,0,1.0,13,5,0.06644628099173554,3,0.0,0,,0
32,4.0,0,2.0,0,0.07405269727923115,1,0,1.0,21,11,0.0023140495867768596,4,0.0,0,,0
34,1.0,0,2.0,0,0.056173742634327055,1,0,,7,5,0.033388429752066115,2,0.0,0,,0
55,2.0,1,0.0,0,0.046415484355914687,0,0,0.0,2,2,0.01818181818181818,3,0.006880733944954129,2,1.0,0
26,2.0,1,0.0,0,0.04446920175568113,1,0,,21,5,0.13917355371900827,1,0.0,0,,0
32,5.0,0,0.0,1,0.033073381565348114,1,1,1.0,4,2,0.06611570247933884,1,0.0,0,,0
61,6.0,1,,0,0.10660259593830955,1,0,1.0,27,1,0.058512396694214874,1,0.10665137614678899,1,2.0,1
45,2.0,1,0.0,0,0.05579790875290264,0,0,,5,6,0.33520661157024795,3,0.0,0,,1
37,4.0,0,1.0,0,0.047529563361565615,1,0,1.0,20,8,0.5738842975206612,2,0.0,0,,0
38,4.0,0,1.0,0,0.04514033368679615,0,0,1.0,29,8,0.031074380165289257,2,0.0,0,,0
34,4.0,1,2.0,0,0.06512664259540141,1,0,1.0,15,6,0.14446280991735538,1,0.06536697247706422,1,1.0,1
53,2.0,1,1.0,0,0.07441510852203326,1,0,1.0,14,7,0.08859504132231405,3,0.0,0,,0
48,6.0,1,1.0,0,0.08559616649440947,1,0,0.0,15,7,0.0512396694214876,2,0.0,0,,0
57,1.0,1,1.0,0,0.045569858122709764,0,1,0.0,4,2,0.04495867768595041,1,0.0,0,,0
33,3.0,0,2.0,0,0.07339498798673844,0,0,1.0,17,11,0.09619834710743802,1,0.0,0,,0
36,9.0,0,1.0,0,0.04582488825653347,1,1,,26,5,0.1024793388429752,1,0.0,0,,0
54,4.0,1,1.0,0,0.05499255043556462,1,1,,15,5,0.19008264462809918,1,0.0,0,,0
41,2.0,1,0.0,0,0.03754312022657414,0,1,0.0,8,7,0.18181818181818182,3,0.0,0,,0
63,9.0,1,1.0,0,0.05003959678393578,1,0,1.0,7,10,0.10545454545454545,1,0.0,0,,0
48,1.0,1,2.0,0,0.12348827532516342,0,0,1.0,13,8,0.07371900826446282,2,0.0,0,,0
48,0.0,1,1.0,0,0.06265687708889814,0,0,1.0,4,7,0.04297520661157025,2,0.0,0,,0
56,6.0,1,1.0,0,0.2709493832297553,0,0,1.0,7,10,0.07239669421487603,1,0.0,0,,0
51,2.0,1,1.0,0,0.04719399739600811,1,0,1.0,8,5,0.04297520661157025,1,0.19610091743119265,5,0.0,0
31,0.0,1,1.0,0,0.049006053610018654,1,0,1.0,28,1,0.049917355371900826,1,0.0,0,,0
29,4.0,1,1.0,0,0.050428853303982495,1,0,1.0,21,7,0.04165289256198347,4,0.0,0,,0
41,1.0,1,1.0,0,0.04446920175568113,0,1,1.0,7,7,0.20694214876033057,3,0.0,0,,0
32,4.0,0,2.0,0,0.04930135165970927,0,0,1.0,19,11,0.05289256198347107,2,0.0,0,,0
37,1.0,1,2.0,0,0.04446920175568113,0,0,1.0,16,7,0.08727272727272728,2,0.2098623853211009,3,2.0,1
42,5.0,1,2.0,1,0.044496047032925735,1,0,,5,5,0.12429752066115703,1,0.0,0,,0
31,1.0,0,2.0,0,0.12833384786781385,1,0,,9,5,0.049586776859504134,2,0.0,0,,0
41,0.0,1,2.0,0,0.04999932886806888,1,0,,3,6,0.049586776859504134,5,0.0,0,,0
56,9.0,1,1.0,0,0.04908658944175246,1,0,,15,5,0.07173553719008265,1,0.0,0,,0
54,1.0,1,2.0,0,0.08771694339673293,0,0,1.0,14,8,0.020826446280991735,2,0.0,0,,0
41,2.0,1,1.0,0,0.0468047408759614,1,0,1.0,14,5,0.12,2,0.34174311926605505,1,1.0,0
40,4.0,0,1.0,0,0.05240198118146065,0,1,1.0,14,8,0.02743801652892562,6,0.0,0,,0
50,2.0,1,0.0,0,0.04967718554113368,0,0,1.0,5,2,0.23041322314049587,1,0.0,0,,0
40,0.0,1,1.0,0,0.047408759613964915,1,0,1.0,17,11,0.06611570247933884,2,0.22591743119266056,1,0.0,0
27,6.0,1,1.0,0,0.0505228117743386,1,0,1.0,16,7,0.21421487603305786,1,0.0,0,,1
60,9.0,1,0.0,0,0.044536314948792635,0,0,1.0,26,8,0.019504132231404958,2,0.0,0,,0
28,6.0,0,1.0,0,0.0468450087918283,1,1,1.0,6,5,0.048264462809917356,1,0.0,0,,0
52,0.0,1,1.0,0,0.053287875330532475,0,0,0.0,7,7,0.13024793388429753,2,0.5286697247706422,2,0.0,1
37,1.0,1,2.0,0,0.06211997154400612,0,0,1.0,30,6,0.07272727272727272,1,0.0,0,,1
51,2.0,1,0.0,0,0.06414678997597348,1,0,,7,5,0.13289256198347107,2,0.0,0,,0
41,4.0,0,1.0,0,0.05626770110468316,0,1,1.0,7,7,0.018512396694214877,4,0.0,0,,0
35,2.0,0,0.0,0,0.048402034872015144,1,0,,30,5,0.1709090909090909,2,0.0,0,,0
38,6.0,1,1.0,0,0.05016040053153649,1,0,1.0,17,4,0.09090909090909091,1,0.0,0,,0
34,2.0,1,1.0,0,0.06904605307311311,1,0,,20,5,0.06578512396694215,2,0.0,0,,0
39,2.0,1,0.0,0,0.045959114642756475,0,0,1.0,18,11,0.06512396694214877,2,0.0,0,,0
34,2.0,1,0.0,0,0.0505765023288278,1,0,,20,6,0.12165289256198347,3,0.0,0,,0
27,0.0,0,1.0,0,0.04185178722433256,1,0,1.0,18,5,0.12793388429752067,1,0.0,0,,1
32,1.0,0,2.0,0,0.09300546301391928,0,0,1.0,14,8,0.053223140495867766,2,0.0,0,,0
57,2.0,1,1.0,0,0.23363444785976026,0,0,1.0,11,8,0.07504132231404959,5,0.0,0,,0
41,,0,2.0,0,0.06550247647682582,0,0,1.0,1,7,0.09487603305785124,2,0.0,0,,0
41,6.0,1,2.0,0,0.11730043892028295,1,0,,14,5,0.047933884297520664,2,0.0,0,,0
30,6.0,0,2.0,0,0.047972510436101526,0,0,1.0,19,10,0.07570247933884297,1,0.15825688073394495,20,0.0,0
36,2.0,1,1.0,0,0.08262976335888109,0,0,1.0,12,2,0.15504132231404957,1,0.2098623853211009,1,2.0,0
31,0.0,0,0.0,0,0.049918793036335084,0,0,1.0,4,2,0.24198347107438017,1,0.0,0,,1
36,2.0,1,1.0,0,0.04446920175568113,1,0,,6,5,0.11008264462809918,1,0.0,0,,0
38,1.0,0,2.0,0,0.05108656259647522,1,0,1.0,11,5,0.18148760330578512,1,0.42201834862385323,7,0.0,0
49,4.0,1,1.0,0,0.12495134293499416,0,0,0.0,21,11,0.11272727272727273,2,0.0,0,,0
57,0.0,0,0.0,0,0.09516650783210964,1,0,0.0,13,5,0.020165289256198347,2,0.0,0,,0
34,1.0,0,1.0,0,0.05150266439376653,0,0,,13,8,0.001652892561983471,1,0.0,0,,0
32,1.0,0,2.0,0,0.05217379632488155,1,0,1.0,14,4,0.08429752066115702,2,0.16743119266055045,3,0.0,0
37,2.0,1,1.0,0,0.05020066844740339,1,1,,9,6,0.12132231404958678,3,0.0,0,,0
33,3.0,1,2.0,0,0.05095233621025221,1,0,1.0,3,2,0.0912396694214876,2,0.0,0,,0
56,0.0,1,0.0,0,0.08998536932390169,0,0,1.0,21,4,0.07900826446280992,1,0.0,0,,1
27,8.0,1,0.0,0,0.04446920175568113,1,0,1.0,23,7,0.1424793388429752,3,0.0,0,,0
21,7.0,0,1.0,0,0.07786472664796446,0,0,1.0,30,6,0.08396694214876033,6,0.19495412844036697,3,2.0,1
58,1.0,1,2.0,0,0.0648313445457108,1,0,0.0,29,7,0.0009917355371900827,5,0.0,0,,0
32,3.0,1,1.0,0,0.047381914336720315,1,1,1.0,15,7,0.10347107438016528,5,0.0,0,,0
33,2.0,0,1.0,0,0.04476449980537174,0,0,1.0,30,1,0.023801652892561982,2,0.23853211009174313,1,0.0,0
25,7.0,0,1.0,0,0.048912095139662555,0,0,0.0,26,8,0.05487603305785124,4,0.0,0,,1
25,4.0,0,1.0,0,0.05124763425994282,0,1,1.0,17,11,0.1262809917355372,2,0.0,0,,1
30,0.0,1,1.0,0,0.0687373323848002,1,0,1.0,18,5,0.026115702479338844,2,0.0,0,,0
22,6.0,0,1.0,0,0.09964966913195795,0,1,1.0,19,8,0.020165289256198347,1,0.0,0,,0
39,2.0,1,0.0,0,0.04516717896404075,0,0,1.0,13,8,0.021487603305785124,1,0.0,0,,0
46,1.0,1,2.0,0,0.04480476772123864,0,0,,17,6,0.18512396694214875,2,0.0,0,,0
31,6.0,1,1.0,0,0.06983798875182884,1,0,1.0,21,7,0.19305785123966943,1,0.0,0,,0
45,2.0,1,0.0,0,0.05009328733842499,0,0,1.0,18,8,0.03603305785123967,4,0.0,0,,0
32,4.0,1,1.0,0,0.08061636756553603,1,0,,21,5,0.003966942148760331,1,0.0,0,,0
36,2.0,1,1.0,0,0.04136857223392974,0,1,1.0,15,7,0.256198347107438,2,0.0,0,,0
51,1.0,0,2.0,1,0.04373095663145461,1,0,1.0,11,5,0.0915702479338843,2,0.30619266055045874,6,0.0,0
34,3.0,0,2.0,0,0.0506704607991839,0,0,1.0,21,8,0.6191735537190083,3,0.0,0,,1
24,0.0,0,1.0,0,0.046066495751734875,0,0,,15,9,0.015537190082644628,1,0.0,0,,0
45,4.0,0,1.0,0,0.05233486798834915,0,1,1.0,28,7,0.009256198347107438,3,0.0,0,,0
32,2.0,0,1.0,0,0.047529563361565615,0,0,0.0,5,2,0.056859504132231405,1,0.33142201834862384,3,0.0,0
77,9.0,1,2.0,0,0.10700527509697856,0,0,1.0,14,4,0.05190082644628099,1,0.0,0,,1
41,2.0,1,0.0,0,0.04672420504422759,1,0,1.0,18,11,0.060495867768595044,3,0.0,0,,0
37,2.0,1,0.0,0,0.04446920175568113,1,0,,26,5,0.006611570247933884,1,0.0,0,,0
43,2.0,1,,1,0.034872015140736366,1,0,,30,5,0.020826446280991735,3,0.0,0,,0
48,6.0,1,,0,0.04446920175568113,1,0,1.0,8,5,0.026776859504132233,1,0.1938073394495413,2,0.0,0
27,4.0,0,1.0,0,0.054791210856230115,1,0,,9,5,0.10347107438016528,2,0.0,0,,0
33,1.0,0,2.0,0,0.04446920175568113,0,0,1.0,28,8,0.07669421487603306,10,0.0,0,,0
29,6.0,0,1.0,0,0.05021409108602569,1,1,1.0,7,5,0.01652892561983471,1,0.3967889908256881,2,0.0,0
34,1.0,0,2.0,0,0.04446920175568113,0,0,1.0,5,2,0.022148760330578512,1,0.0,0,,0
52,1.0,1,2.0,0,0.03144924229204977,1,0,1.0,4,2,0.16033057851239668,1,0.0,0,,1
60,1.0,1,,0,0.12920631937826338,0,0,,19,6,0.011570247933884297,2,0.0,0,,0
32,1.0,1,2.0,0,0.057193863169621884,0,0,1.0,12,8,0.06611570247933884,2,0.0,0,,0
32,1.0,0,2.0,0,0.04446920175568113,1,0,1.0,22,7,0.14909090909090908,2,0.0,0,,0
56,0.0,1,,0,0.06966349444973893,1,0,,30,5,0.027107438016528925,1,0.0,0,,0
31,1.0,0,2.0,0,0.056200587911571655,1,0,1.0,18,11,0.06148760330578512,2,0.0,0,,0
42,6.0,1,1.0,0,0.04880471403068415,1,1,,8,5,0.0912396694214876,2,0.0,0,,0
35,1.0,1,2.0,0,0.04589200144964497,0,1,1.0,11,8,0.19305785123966943,2,0.0,0,,0
56,9.0,1,0.0,0,0.07005275096978564,0,1,,19,6,0.013553719008264463,9,0.0,0,,0
48,4.0,1,1.0,0,0.05993208144857116,1,0,1.0,21,7,0.05421487603305785,5,0.0,0,,0
46,6.0,1,1.0,0,0.0468718540690729,1,0,1.0,29,1,0.0628099173553719,4,0.5011467889908257,1,1.0,0
37,4.0,0,,0,0.04971745345700058,1,0,,8,5,0.03272727272727273,3,0.0,0,,0
41,5.0,1,,0,0.04566381659306586,1,0,,6,5,0.10876033057851239,2,0.0,0,,0
36,1.0,0,2.0,0,0.050402008026737895,1,1,1.0,29,7,0.03239669421487603,3,0.0,0,,0
45,0.0,1,0.0,1,0.04112696473872834,1,1,,1,7,0.02909090909090909,1,0.0,0,,0
55,5.0,1,1.0,0,0.15324626515080333,0,0,1.0,6,2,0.06909090909090909,2,0.0,0,,0
39,4.0,1,1.0,0,0.05119394370545362,0,0,,26,5,0.09421487603305785,1,0.0,0,,0
35,4.0,1,1.0,0,0.04860337445134964,0,0,1.0,22,8,0.024132231404958678,2,0.0,0,,0
55,6.0,1,1.0,0,0.05254963020630596,0,0,1.0,1,6,0.10578512396694215,3,0.10435779816513761,2,2.0,1
55,4.0,1,1.0,0,0.04813358209956913,1,0,1.0,29,1,0.026446280991735537,3,0.21100917431192662,3,0.0,0
27,3.0,0,1.0,0,0.04514033368679615,0,0,1.0,29,1,0.05421487603305785,1,0.0,0,,0
34,4.0,1,1.0,0,0.06649575173487604,1,0,1.0,17,4,0.12429752066115703,1,0.0,0,,0
34,2.0,1,2.0,0,0.04473765452812714,0,0,,4,10,0.0019834710743801653,1,0.0,0,,0
25,6.0,0,1.0,0,0.10607911303203983,1,0,,28,5,0.06446280991735537,2,0.0,0,,0
41,6.0,0,1.0,0,0.04103300626837224,0,1,,9,5,0.010247933884297521,3,0.0,0,,0
43,0.0,1,1.0,0,0.057596542328290895,1,1,,26,5,0.025785123966942148,2,0.0,0,,0
28,1.0,0,2.0,0,0.045543012845465164,0,0,1.0,20,10,0.2221487603305785,2,0.16857798165137614,2,0.0,1
31,6.0,0,1.0,0,0.07271043341700112,1,0,,3,6,0.14909090909090908,1,0.0,0,,0
78,8.0,1,1.0,0,0.05116709842820902,0,0,0.0,16,3,0.02512396694214876,4,0.0,0,,0
45,2.0,1,1.0,0,0.061502530167380304,1,0,1.0,29,1,0.18016528925619835,2,0.0,0,,0
48,4.0,1,2.0,0,0.04863021972859425,0,0,,6,5,0.04330578512396694,1,0.0,0,,0
32,2.0,0,1.0,0,0.05981127770097046,1,1,1.0,10,7,0.13487603305785123,1,0.0,0,,0
42,4.0,1,1.0,0,0.08446866485013624,0,0,,20,6,0.03206611570247934,3,0.0,0,,0
37,1.0,0,2.0,0,0.044965839384706247,0,0,1.0,28,1,0.08231404958677686,2,0.0,0,,0
40,6.0,0,1.0,0,0.0506704607991839,1,1,1.0,6,4,0.08859504132231405,1,0.3853211009174312,4,1.0,0
32,6.0,1,1.0,0,0.05830794217527282,1,0,1.0,17,7,0.026446280991735537,1,0.0,0,,0
42,1.0,1,2.0,0,0.16539375310398519,0,0,1.0,20,11,0.04330578512396694,2,0.0,0,,0
43,6.0,1,1.0,0,0.03822767479631146,1,1,1.0,23,7,0.053553719008264465,1,0.0,0,,0
44,6.0,1,1.0,0,0.11401189245781936,1,1,1.0,31,7,0.004628099173553719,7,0.0,0,,0
37,6.0,1,1.0,0,0.046831586153206,1,0,1.0,5,5,0.04727272727272727,2,0.39908256880733944,1,0.0,0
37,,1,,0,0.06727426477496946,0,0,,9,6,0.019504132231404958,1,0.0,0,,0
37,6.0,1,2.0,0,0.04446920175568113,1,0,1.0,17,11,0.020165289256198347,2,0.13761467889908258,1,0.0,0
28,4.0,0,2.0,0,0.0467778955987168,1,1,1.0,2,2,0.0628099173553719,2,0.0,0,,0
32,0.0,0,1.0,0,0.04446920175568113,0,1,1.0,11,7,0.10876033057851239,2,0.0,0,,0
34,6.0,0,1.0,0,0.13814579670071542,1,0,1.0,15,5,0.003305785123966942,5,0.0,0,,0
40,6.0,1,1.0,0,0.044549737587414935,0,0,,11,6,0.04495867768595041,1,0.0,0,,0
34,0.0,1,1.0,0,0.043636998161098506,1,0,,16,6,0.03471074380165289,3,0.0,0,,0
34,3.0,1,2.0,0,0.07093864511885746,1,0,1.0,23,7,0.01884297520661157,2,0.0,0,,0
34,6.0,1,2.0,0,0.05653615387712917,1,0,0.0,19,11,0.12330578512396695,3,0.009174311926605505,4,2.0,0
37,0.0,0,1.0,0,0.04475107716674944,1,0,1.0,2,2,0.030413223140495868,1,0.3119266055045872,2,1.0,0
36,4.0,1,1.0,0,0.04477792244399404,1,0,1.0,8,5,0.04892561983471074,2,0.39908256880733944,1,0.0,0
56,9.0,1,1.0,0,0.028281499577186883,1,0,1.0,15,6,0.12495867768595041,2,0.0,0,,1
49,2.0,1,0.0,0,0.04446920175568113,1,1,0.0,23,7,0.03074380165289256,6,0.0,0,,0
33,3.0,1,1.0,0,0.04735506905947571,1,0,1.0,29,7,0.1781818181818182,12,0.0,0,,0
30,1.0,0,2.0,0,0.06288506194547724,0,0,1.0,20,11,0.07801652892561983,2,0.0,0,,0
36,0.0,1,1.0,0,0.07105944886645817,0,0,,17,6,0.014545454545454545,2,0.0,0,,0
23,7.0,0,1.0,0,0.16817223929880135,0,0,1.0,5,6,0.1543801652892562,2,0.0,0,,0
57,9.0,1,1.0,0,0.044992684661950846,1,0,1.0,30,7,0.11570247933884298,3,0.0,0,,0
27,2.0,0,1.0,0,0.1191393404115381,1,0,,30,5,0.1424793388429752,2,0.0,0,,0
38,0.0,1,1.0,0,0.044482624394303436,0,1,1.0,21,11,0.04892561983471074,2,0.0,0,,0
42,4.0,1,2.0,0,0.05496570515832002,0,0,1.0,3,4,0.09289256198347108,1,0.0,0,,0
75,9.0,1,1.0,0,0.09508597200037583,0,0,0.0,15,4,0.05983471074380165,1,0.20871559633027523,2,2.0,1
34,4.0,0,2.0,0,0.0577844592690031,1,0,1.0,4,5,0.09818181818181818,1,0.10206422018348624,2,2.0,0
48,4.0,1,1.0,0,0.0649521482933115,0,0,1.0,6,8,0.08892561983471074,2,0.0,0,,0
35,4.0,0,2.0,0,0.08014657521375552,1,0,1.0,19,8,0.2525619834710744,2,0.1628440366972477,3,0.0,1
39,1.0,1,2.0,0,0.06211997154400612,1,0,1.0,19,11,0.4406611570247934,4,0.14564220183486237,1,0.0,0
29,2.0,0,2.0,0,0.0505765023288278,0,0,0.0,21,4,0.13190082644628098,1,0.0,0,,1
45,4.0,0,2.0,0,0.04446920175568113,1,0,1.0,18,11,0.04462809917355372,2,0.0,0,,0
42,4.0,1,1.0,0,0.07171715815895088,1,1,1.0,9,7,0.06347107438016529,1,0.0,0,,0
29,4.0,1,1.0,0,0.06593200091273943,1,0,1.0,8,7,0.036694214876033054,1,0.07110091743119266,1,0.0,0
38,0.0,0,1.0,0,0.04183836458571026,1,0,1.0,2,2,0.018512396694214877,1,0.3119266055045872,1,0.0,0
56,9.0,1,1.0,0,0.062361579039207526,0,0,1.0,28,8,0.004297520661157025,14,0.0,0,,0
36,4.0,0,1.0,0,0.16727292251110723,1,0,1.0,13,8,0.04528925619834711,3,0.0,0,,0
25,2.0,0,1.0,0,0.039771278237876004,1,0,,23,6,0.030082644628099172,3,0.0,0,,0
38,4.0,1,2.0,0,0.050267781640514896,1,0,1.0,15,5,0.0019834710743801653,2,0.4288990825688073,1,1.0,0
57,3.0,1,1.0,0,0.1987490100804016,0,0,1.0,19,11,0.06413223140495868,1,0.0,0,,0
31,1.0,1,2.0,1,0.04107327418423914,0,0,1.0,12,8,0.07140495867768595,4,0.0,0,,0
42,1.0,1,2.0,0,0.04946242332317687,1,0,1.0,3,8,0.21487603305785125,2,0.0,0,,1
45,4.0,1,1.0,0,0.06339512221312466,0,0,1.0,11,8,0.022148760330578512,2,0.0,0,,0
30,2.0,1,1.0,0,0.057556274412423995,1,0,1.0,13,5,0.08330578512396694,2,0.4036697247706422,2,0.0,0
49,2.0,1,0.0,0,0.04856310653548274,1,1,0.0,10,7,0.2743801652892562,10,0.0,0,,0
49,0.0,1,1.0,0,0.04983825720460128,0,0,1.0,21,8,0.04859504132231405,3,0.0,0,,0
53,9.0,1,2.0,0,0.04417390370599052,1,0,1.0,31,7,0.005289256198347108,3,0.0,0,,0
37,4.0,1,1.0,0,0.09856243540355163,1,0,,26,5,0.0575206611570248,5,0.0,0,,0
49,2.0,1,0.0,0,0.049368464852820766,0,0,,26,5,0.01818181818181818,2,0.0,0,,0
41,3.0,1,0.0,0,0.04720742003463041,0,0,1.0,13,8,0.035371900826446284,7,0.0,0,,0
54,1.0,1,0.0,0,0.06716688366599106,1,0,1.0,20,11,0.060165289256198344,1,0.0,0,,0
32,0.0,0,1.0,0,0.049918793036335084,1,0,,6,5,0.07371900826446282,1,0.0,0,,0
33,4.0,1,1.0,0,0.041730983476731855,0,0,1.0,15,5,0.0968595041322314,3,0.0,0,,0
33,4.0,1,1.0,0,0.04928792902108697,1,0,1.0,20,4,0.06809917355371901,1,0.2786697247706422,1,1.0,0
36,2.0,1,0.0,0,0.046120186306224074,1,0,1.0,18,5,0.001652892561983471,1,0.0,0,,0
35,4.0,1,2.0,0,0.04446920175568113,1,1,1.0,23,9,0.03570247933884298,1,0.07224770642201835,6,1.0,0
52,,1,1.0,0,0.04637521644004779,0,0,1.0,25,8,0.03570247933884298,6,0.0,0,,0
40,5.0,1,2.0,0,0.09240144427591576,0,0,,9,6,0.07206611570247934,3,0.0,0,,0
44,4.0,0,1.0,0,0.04491214883021705,1,0,1.0,13,5,0.0631404958677686,3,0.4036697247706422,10,0.0,0
45,2.0,0,1.0,0,0.04446920175568113,1,0,1.0,26,7,0.2525619834710744,2,0.10550458715596331,5,2.0,0
30,7.0,0,1.0,0,0.08602569093032308,0,0,1.0,26,1,0.03933884297520661,1,0.0,0,,0
48,4.0,1,1.0,1,0.04473765452812714,0,0,1.0,27,8,0.04661157024793389,3,0.0,0,,0
33,2.0,1,1.0,0,0.09246855746902727,1,0,1.0,2,4,0.03966942148760331,1,0.3543577981651376,2,1.0,0
57,4.0,1,,0,0.04723426531187501,1,0,,5,5,0.07008264462809917,3,0.0,0,,0
57,8.0,1,0.0,0,0.13952832847881236,0,0,,6,6,0.021487603305785124,3,0.0,0,,0
51,0.0,1,2.0,0,0.06640179326451993,1,0,1.0,22,7,0.05421487603305785,4,0.0,0,,0
34,6.0,0,1.0,0,0.044482624394303436,1,0,1.0,22,7,0.15834710743801653,7,0.0,0,,0
50,3.0,1,2.0,0,0.09832082790835023,0,0,1.0,19,11,0.22677685950413223,3,0.0,0,,0
44,1.0,1,2.0,0,0.09496516825277514,0,0,1.0,28,8,0.04,12,0.0,0,,0
27,6.0,1,1.0,0,0.04115381001597294,1,1,,4,6,0.11239669421487604,2,0.0,0,,0
50,2.0,1,1.0,0,0.05260332076079516,1,0,,14,5,0.22115702479338842,2,0.0,0,,0
36,1.0,1,2.0,0,0.04446920175568113,1,0,1.0,28,1,0.018512396694214877,1,0.28784403669724773,1,1.0,0
42,1.0,1,1.0,0,0.04193232305606636,1,0,,12,5,0.0803305785123967,2,0.0,0,,0
32,0.0,0,1.0,0,0.04446920175568113,0,0,1.0,27,5,0.03933884297520661,2,0.0,0,,0
42,1.0,1,2.0,0,0.05096575884887451,1,0,1.0,11,7,0.04628099173553719,2,0.0,0,,0
